user_input,sentiment,topics,entities,recommendations
I'm feeling very anxious about my partner's health.,anxious,relationships,partner,Try to identify the sources of your anxiety and address them one by one.
I've been feeling very stressed about my upcoming wedding.,anxious,health,stress,Discuss your concerns with a healthcare professional.
I feel very anxious about my financial stability.,anxious,finances,general,Try to identify the sources of your anxiety and address them one by one.
I've been feeling very sad since my pet died.,sad,other,general,"Engage in activities that used to make you happy, even if it's hard at first."
I'm feeling very stressed about my job security.,anxious,work,job,Take short breaks during work to relax and recharge.
I've been feeling very anxious about my upcoming doctor's appointment.,anxious,health,general,Practice mindfulness or deep breathing exercises to calm your mind.
I feel very guilty about not eating healthy.,guilty,health,health,Talk to a trusted friend or counselor about your feelings of guilt.
I've been feeling very nervous about my new relationship.,anxious,relationships,general,Practice mindfulness or deep breathing exercises to calm your mind.
I'm feeling very anxious about my partner's job situation.,anxious,relationships,job,Try to identify the sources of your anxiety and address them one by one.
I've been feeling very stressed about my upcoming court date.,anxious,health,stress,Discuss your concerns with a healthcare professional.
I feel very anxious about my career progression.,anxious,work,general,Practice mindfulness or deep breathing exercises to calm your mind.
I've been feeling very sad since my friend's accident.,sad,other,general,"Engage in activities that used to make you happy, even if it's hard at first."
I'm feeling very stressed about my workload at school.,anxious,work,school,"Break down your tasks into smaller, manageable steps."
I've been feeling very anxious about my child's education.,anxious,education,general,Practice mindfulness or deep breathing exercises to calm your mind.
I feel very guilty about not spending enough time with my friends.,guilty,relationships,friends,Acknowledge your feelings and try to forgive yourself.
I've been feeling very nervous about my upcoming vacation.,anxious,other,vacation,Practice mindfulness or deep breathing exercises to calm your mind.
I'm feeling very anxious about my partner's family.,anxious,relationships,partner,Try to identify the sources of your anxiety and address them one by one.
I've been feeling very stressed about my child's extracurricular activities.,anxious,health,stress,Stay informed but avoid overloading yourself with information.
I feel very anxious about my retirement plans.,anxious,other,general,Practice mindfulness or deep breathing exercises to calm your mind.
I've been feeling very sad since my favorite TV show ended.,sad,other,general,"Engage in activities that used to make you happy, even if it's hard at first."
I'm feeling very stressed about my car breaking down.,sad,health,stress,"Engage in activities that used to make you happy, even if it's hard at first."
I've been feeling very anxious about my partner's mental health.,anxious,relationships,partner,Try to identify the sources of your anxiety and address them one by one.
I feel very guilty about not being able to help my friends.,guilty,relationships,friends,Acknowledge your feelings and try to forgive yourself.
I've been feeling very nervous about my upcoming surgery.,anxious,health,general,Try to identify the sources of your anxiety and address them one by one.
I'm feeling very anxious about my child's future.,anxious,other,general,Try to identify the sources of your anxiety and address them one by one.
I've been feeling very stressed about my upcoming test.,anxious,health,stress,Stay informed but avoid overloading yourself with information.
I feel very guilty about not being able to help my coworkers.,guilty,work,work,Talk to a trusted friend or counselor about your feelings of guilt.
I've been feeling very nervous about my upcoming trip.,anxious,other,general,Practice mindfulness or deep breathing exercises to calm your mind.
I'm feeling very anxious about my child's development.,anxious,other,general,Try to identify the sources of your anxiety and address them one by one.
I've been feeling very stressed about my relationship with my partner.,anxious,relationships,partner,Try to identify the sources of your anxiety and address them one by one.
I feel very anxious about my financial situation.,anxious,finances,financial situation,Try to identify the sources of your anxiety and address them one by one.
I've been feeling very sad since my partner left me.,sad,relationships,partner,Reach out to a loved one and talk about your feelings.
I'm feeling very stressed about my relationship with my parents.,anxious,relationships,stress,Practice mindfulness or deep breathing exercises to calm your mind.
I've been feeling very anxious about my child's safety.,anxious,other,general,Try to identify the sources of your anxiety and address them one by one.
I feel very guilty about not being able to help my child.,guilty,other,general,Acknowledge your feelings and try to forgive yourself.
I've been feeling very nervous about my upcoming job interview.,anxious,work,job,"Break down your tasks into smaller, manageable steps."
I'm feeling very anxious about my partner's well-being.,anxious,relationships,partner,Try to identify the sources of your anxiety and address them one by one.
I've been feeling very stressed about my partner's health.,anxious,relationships,partner,Practice mindfulness or deep breathing exercises to calm your mind.
I feel very anxious about my child's future.,anxious,other,general,Try to identify the sources of your anxiety and address them one by one.
I've been feeling very sad since my pet passed away.,sad,other,general,"Engage in activities that used to make you happy, even if it's hard at first."
I'm feeling very stressed about my partner's job.,anxious,relationships,job,Practice mindfulness or deep breathing exercises to calm your mind.
I've been feeling very anxious about my upcoming doctor's visit.,anxious,health,general,Practice mindfulness or deep breathing exercises to calm your mind.
I feel very guilty about not being able to help my family.,guilty,relationships,family,Spend quality time with your family and communicate openly.
I've been feeling very nervous about my child's future.,anxious,other,general,Practice mindfulness or deep breathing exercises to calm your mind.
I'm feeling very anxious about my partner's mental health.,anxious,relationships,partner,Practice mindfulness or deep breathing exercises to calm your mind.
I've been feeling very stressed about my child's school.,anxious,health,school,Discuss your concerns with a healthcare professional.
I feel very anxious about my financial stability.,anxious,finances,general,Practice mindfulness or deep breathing exercises to calm your mind.
I've been feeling very sad since my friend moved away.,sad,other,general,"Engage in activities that used to make you happy, even if it's hard at first."
I'm feeling very stressed about my relationship with my family.,anxious,relationships,family,Try to identify the sources of your anxiety and address them one by one.
I've been feeling very anxious about my child's health.,anxious,health,health,Discuss your concerns with a healthcare professional.
I feel very guilty about not being able to help my friends.,guilty,relationships,friends,Talk to a trusted friend or counselor about your feelings of guilt.
I've been feeling very nervous about my upcoming test.,anxious,education,general,Try to identify the sources of your anxiety and address them one by one.
I'm feeling very anxious about my partner's future.,anxious,relationships,partner,Practice mindfulness or deep breathing exercises to calm your mind.
I've been feeling very stressed about my child's education.,anxious,health,stress,Stay informed but avoid overloading yourself with information.
I feel very anxious about my financial future.,anxious,finances,general,Try to identify the sources of your anxiety and address them one by one.
I've been feeling very sad since my pet died.,sad,other,general,"Engage in activities that used to make you happy, even if it's hard at first."
I'm feeling very stressed about my child's behavior.,anxious,health,stress,Discuss your concerns with a healthcare professional.
I've been feeling very anxious about my partner's job.,anxious,relationships,job,Practice mindfulness or deep breathing exercises to calm your mind.
I feel very guilty about not being able to help my coworkers.,guilty,work,work,Acknowledge your feelings and try to forgive yourself.
I've been feeling very nervous about my child's development.,anxious,other,general,Try to identify the sources of your anxiety and address them one by one.
I'm feeling very anxious about my partner's well-being.,anxious,relationships,partner,Practice mindfulness or deep breathing exercises to calm your mind.
I've been feeling very stressed about my child's safety.,anxious,health,stress,Stay informed but avoid overloading yourself with information.
I feel very anxious about my financial situation.,anxious,finances,financial situation,Try to identify the sources of your anxiety and address them one by one.
I've been feeling very sad since my friend passed away.,sad,other,general,"Engage in activities that used to make you happy, even if it's hard at first."
I'm feeling very stressed about my child's school.,anxious,health,school,Discuss your concerns with a healthcare professional.
I've been feeling very anxious about my partner's health.,anxious,relationships,partner,Try to identify the sources of your anxiety and address them one by one.
I feel very guilty about not being able to help my family.,guilty,relationships,family,Spend quality time with your family and communicate openly.
I've been feeling very nervous about my child's education.,anxious,education,general,Try to identify the sources of your anxiety and address them one by one.
I'm feeling very anxious about my partner's mental health.,anxious,relationships,partner,Practice mindfulness or deep breathing exercises to calm your mind.
I've been feeling very stressed about my child's extracurricular activities.,anxious,health,stress,Stay informed but avoid overloading yourself with information.
I feel very anxious about my financial stability.,anxious,finances,general,Practice mindfulness or deep breathing exercises to calm your mind.
I've been feeling very sad since my pet passed away.,sad,other,general,Reach out to a loved one and talk about your feelings.
I'm feeling very stressed about my partner's job.,anxious,relationships,job,Practice mindfulness or deep breathing exercises to calm your mind.
I've been feeling very anxious about my upcoming doctor's appointment.,anxious,health,general,Practice mindfulness or deep breathing exercises to calm your mind.
I feel very guilty about not being able to help my friends.,guilty,relationships,friends,Talk to a trusted friend or counselor about your feelings of guilt.
I've been feeling very nervous about my child's education.,anxious,education,general,Practice mindfulness or deep breathing exercises to calm your mind.
I'm feeling very anxious about my partner's future.,anxious,relationships,partner,Try to identify the sources of your anxiety and address them one by one.
I've been feeling very stressed about my child's development.,anxious,health,stress,Discuss your concerns with a healthcare professional.
I feel very anxious about my financial future.,anxious,finances,general,Practice mindfulness or deep breathing exercises to calm your mind.
I've been feeling very sad since my friend left.,sad,other,general,Reach out to a loved one and talk about your feelings.
I'm feeling very stressed about my child's behavior.,anxious,health,stress,Discuss your concerns with a healthcare professional.
I've been feeling very anxious about my partner's job.,anxious,relationships,job,Practice mindfulness or deep breathing exercises to calm your mind.
I feel very guilty about not being able to help my coworkers.,guilty,work,work,Talk to a trusted friend or counselor about your feelings of guilt.
I've been feeling very nervous about my child's future.,anxious,other,general,Practice mindfulness or deep breathing exercises to calm your mind.
I'm feeling very anxious about my partner's well-being.,anxious,relationships,partner,Try to identify the sources of your anxiety and address them one by one.
I've been feeling very stressed about my child's safety.,anxious,health,stress,Discuss your concerns with a healthcare professional.
I feel very anxious about my financial situation.,anxious,finances,financial situation,Try to identify the sources of your anxiety and address them one by one.
I've been feeling very sad since my friend passed away.,sad,other,general,"Engage in activities that used to make you happy, even if it's hard at first."
I'm feeling very stressed about my child's school.,anxious,health,school,Discuss your concerns with a healthcare professional.
I've been feeling very anxious about my partner's health.,anxious,relationships,partner,Practice mindfulness or deep breathing exercises to calm your mind.
I feel very guilty about not being able to help my family.,guilty,relationships,family,Spend quality time with your family and communicate openly.
I've been feeling very nervous about my child's education.,anxious,education,general,Try to identify the sources of your anxiety and address them one by one.
I'm feeling very anxious about my partner's mental health.,anxious,relationships,partner,Try to identify the sources of your anxiety and address them one by one.
I've been feeling very stressed about my child's extracurricular activities.,anxious,health,stress,Stay informed but avoid overloading yourself with information.
I feel very anxious about my financial stability.,anxious,finances,general,Try to identify the sources of your anxiety and address them one by one.
I've been feeling very sad since my pet died.,sad,other,general,"Engage in activities that used to make you happy, even if it's hard at first."
I'm feeling very stressed about my partner's job.,anxious,relationships,job,Practice mindfulness or deep breathing exercises to calm your mind.
I've been feeling very anxious about my upcoming doctor's visit.,anxious,health,general,Practice mindfulness or deep breathing exercises to calm your mind.
I feel very guilty about not being able to help my friends.,guilty,relationships,friends,Talk to a trusted friend or counselor about your feelings of guilt.
I've been feeling very nervous about my child's development.,anxious,other,general,Try to identify the sources of your anxiety and address them one by one.
I'm feeling very anxious about my partner's future.,anxious,relationships,partner,Try to identify the sources of your anxiety and address them one by one.
I've been feeling very stressed about my child's education.,anxious,health,stress,Discuss your concerns with a healthcare professional.
I feel very anxious about my financial future.,anxious,finances,general,Try to identify the sources of your anxiety and address them one by one.
I've been feeling very sad since my friend moved away.,sad,other,general,"Engage in activities that used to make you happy, even if it's hard at first."
I'm feeling very stressed about my child's behavior.,anxious,health,stress,Discuss your concerns with a healthcare professional.
I've been feeling very anxious about my partner's job.,anxious,relationships,job,Try to identify the sources of your anxiety and address them one by one.
I feel very guilty about not being able to help my coworkers.,guilty,work,work,Talk to a trusted friend or counselor about your feelings of guilt.
I've been feeling very nervous about my child's future.,anxious,other,general,Try to identify the sources of your anxiety and address them one by one.
I'm feeling very anxious about my partner's well-being.,anxious,relationships,partner,Practice mindfulness or deep breathing exercises to calm your mind.
I've been feeling very stressed about my child's safety.,anxious,health,stress,Stay informed but avoid overloading yourself with information.
I feel very anxious about my financial situation.,anxious,finances,financial situation,Practice mindfulness or deep breathing exercises to calm your mind.
I've been feeling very sad since my friend passed away.,sad,other,general,"Engage in activities that used to make you happy, even if it's hard at first."
I feel like I'm stuck in a rut and can't get out.,neutral,other,general,Consider seeking professional advice.
I've been feeling a lot of pressure from my parents.,overwhelmed,relationships,general,Prioritize your tasks and focus on one thing at a time.
I'm worried about the state of the world and the future.,anxious,other,general,Try to identify the sources of your anxiety and address them one by one.
I feel very disconnected from my coworkers.,neutral,work,work,Consider seeking professional advice.
I've been feeling very anxious about my upcoming move.,anxious,other,general,Try to identify the sources of your anxiety and address them one by one.
I'm feeling very stressed about planning my wedding.,anxious,health,stress,Discuss your concerns with a healthcare professional.
I've been feeling very anxious about my mortgage payments.,anxious,other,general,Try to identify the sources of your anxiety and address them one by one.
I feel very guilty about not being able to attend my friend's wedding.,guilty,other,general,Talk to a trusted friend or counselor about your feelings of guilt.
I've been feeling very stressed about my child's school performance.,anxious,health,school,Discuss your concerns with a healthcare professional.
I'm feeling very anxious about my upcoming presentation.,anxious,other,general,Try to identify the sources of your anxiety and address them one by one.
I feel very overwhelmed by the amount of work I have to do.,overwhelmed,work,work,Set clear boundaries between work and personal time.
I've been feeling very sad since my partner broke up with me.,sad,relationships,partner,Reach out to a loved one and talk about your feelings.
I'm feeling very anxious about my upcoming exams.,anxious,education,general,Practice mindfulness or deep breathing exercises to calm your mind.
I've been feeling very stressed about my living situation.,anxious,health,stress,Discuss your concerns with a healthcare professional.
I feel very guilty about not spending enough time with my family.,guilty,relationships,family,Spend quality time with your family and communicate openly.
I've been feeling very nervous about my future career prospects.,anxious,work,general,Try to identify the sources of your anxiety and address them one by one.
I'm feeling very anxious about my upcoming move.,anxious,other,general,Practice mindfulness or deep breathing exercises to calm your mind.
I've been feeling very sad since I lost my job.,sad,work,job,"Engage in activities that used to make you happy, even if it's hard at first."
I'm feeling very stressed about my workload.,anxious,work,work,"Break down your tasks into smaller, manageable steps."
I've been feeling very anxious about my upcoming trip.,anxious,other,general,Try to identify the sources of your anxiety and address them one by one.
I feel very nervous about my upcoming performance.,anxious,other,general,Try to identify the sources of your anxiety and address them one by one.
I've been feeling very stressed about my family vacation.,anxious,relationships,vacation,Try to identify the sources of your anxiety and address them one by one.
I feel very anxious about my child's health.,anxious,health,health,Stay informed but avoid overloading yourself with information.
I've been feeling very sad since my grandmother passed away.,sad,other,general,"Engage in activities that used to make you happy, even if it's hard at first."
I'm feeling very stressed about my relationship with my siblings.,anxious,relationships,stress,Practice mindfulness or deep breathing exercises to calm your mind.
I've been feeling very anxious about my weight.,anxious,other,general,Practice mindfulness or deep breathing exercises to calm your mind.
I feel very guilty about not exercising enough.,guilty,other,general,Talk to a trusted friend or counselor about your feelings of guilt.
I've been feeling very nervous about my upcoming date.,anxious,other,general,Try to identify the sources of your anxiety and address them one by one.
I'm feeling very anxious about my partner's health.,anxious,relationships,partner,Practice mindfulness or deep breathing exercises to calm your mind.
I've been feeling very stressed about my upcoming wedding.,anxious,health,stress,Discuss your concerns with a healthcare professional.
I feel very anxious about my financial stability.,anxious,finances,general,Try to identify the sources of your anxiety and address them one by one.
I've been feeling very sad since my pet died.,sad,other,general,Reach out to a loved one and talk about your feelings.
I'm feeling very stressed about my job security.,anxious,work,job,Take short breaks during work to relax and recharge.
I've been feeling very anxious about my upcoming doctor's appointment.,anxious,health,general,Try to identify the sources of your anxiety and address them one by one.
I feel very guilty about not eating healthy.,guilty,health,health,Talk to a trusted friend or counselor about your feelings of guilt.
I've been feeling very nervous about my new relationship.,anxious,relationships,general,Practice mindfulness or deep breathing exercises to calm your mind.
I'm feeling very anxious about my partner's job situation.,anxious,relationships,job,Practice mindfulness or deep breathing exercises to calm your mind.
I've been feeling very stressed about my upcoming court date.,anxious,health,stress,Discuss your concerns with a healthcare professional.
I feel very anxious about my career progression.,anxious,work,general,Try to identify the sources of your anxiety and address them one by one.
I've been feeling very sad since my friend's accident.,sad,other,general,"Engage in activities that used to make you happy, even if it's hard at first."
I'm feeling very stressed about my workload at school.,anxious,work,school,Take short breaks during work to relax and recharge.
I've been feeling very anxious about my child's education.,anxious,education,general,Try to identify the sources of your anxiety and address them one by one.
I feel very guilty about not spending enough time with my friends.,guilty,relationships,friends,Acknowledge your feelings and try to forgive yourself.
I've been feeling very nervous about my upcoming vacation.,anxious,other,vacation,Try to identify the sources of your anxiety and address them one by one.
I'm feeling very anxious about my partner's family.,anxious,relationships,partner,Practice mindfulness or deep breathing exercises to calm your mind.
I've been feeling very stressed about my child's extracurricular activities.,anxious,health,stress,Discuss your concerns with a healthcare professional.
I feel very anxious about my retirement plans.,anxious,other,general,Practice mindfulness or deep breathing exercises to calm your mind.
I've been feeling very sad since my favorite TV show ended.,sad,other,general,"Engage in activities that used to make you happy, even if it's hard at first."
I'm feeling very stressed about my car breaking down.,sad,health,stress,"Engage in activities that used to make you happy, even if it's hard at first."
I've been feeling very anxious about my partner's mental health.,anxious,relationships,partner,Practice mindfulness or deep breathing exercises to calm your mind.
I feel very guilty about not being able to help my friends.,guilty,relationships,friends,Acknowledge your feelings and try to forgive yourself.
I've been feeling very nervous about my upcoming surgery.,anxious,health,general,Practice mindfulness or deep breathing exercises to calm your mind.
I'm feeling very anxious about my child's future.,anxious,other,general,Practice mindfulness or deep breathing exercises to calm your mind.
I've been feeling very stressed about my upcoming test.,anxious,health,stress,Stay informed but avoid overloading yourself with information.
I feel very guilty about not being able to help my coworkers.,guilty,work,work,Acknowledge your feelings and try to forgive yourself.
I've been feeling very nervous about my upcoming trip.,anxious,other,general,Practice mindfulness or deep breathing exercises to calm your mind.
I'm feeling very anxious about my child's development.,anxious,other,general,Try to identify the sources of your anxiety and address them one by one.
I've been feeling very stressed about my relationship with my partner.,anxious,relationships,partner,Try to identify the sources of your anxiety and address them one by one.
I feel very anxious about my financial situation.,anxious,finances,financial situation,Try to identify the sources of your anxiety and address them one by one.
I've been feeling very sad since my partner left me.,sad,relationships,partner,Reach out to a loved one and talk about your feelings.
I'm feeling very stressed about my relationship with my parents.,anxious,relationships,stress,Try to identify the sources of your anxiety and address them one by one.
I've been feeling very anxious about my child's safety.,anxious,other,general,Try to identify the sources of your anxiety and address them one by one.
I feel very guilty about not being able to help my child.,guilty,other,general,Acknowledge your feelings and try to forgive yourself.
I've been feeling very nervous about my upcoming job interview.,anxious,work,job,"Break down your tasks into smaller, manageable steps."
I'm feeling very anxious about my partner's well-being.,anxious,relationships,partner,Try to identify the sources of your anxiety and address them one by one.
I've been feeling very stressed about my partner's health.,anxious,relationships,partner,Try to identify the sources of your anxiety and address them one by one.
I feel very anxious about my child's future.,anxious,other,general,Try to identify the sources of your anxiety and address them one by one.
I've been feeling very sad since my pet passed away.,sad,other,general,"Engage in activities that used to make you happy, even if it's hard at first."
I'm feeling very stressed about my partner's job.,anxious,relationships,job,Try to identify the sources of your anxiety and address them one by one.
I've been feeling very anxious about my upcoming doctor's visit.,anxious,health,general,Try to identify the sources of your anxiety and address them one by one.
I feel very guilty about not being able to help my family.,guilty,relationships,family,Show appreciation for your family members and their support.
I've been feeling very nervous about my child's future.,anxious,other,general,Practice mindfulness or deep breathing exercises to calm your mind.
I'm feeling very anxious about my partner's mental health.,anxious,relationships,partner,Try to identify the sources of your anxiety and address them one by one.
I've been feeling very stressed about my child's school.,anxious,health,school,Discuss your concerns with a healthcare professional.
I feel very anxious about my financial stability.,anxious,finances,general,Try to identify the sources of your anxiety and address them one by one.
I've been feeling very sad since my friend moved away.,sad,other,general,"Engage in activities that used to make you happy, even if it's hard at first."
I'm feeling very stressed about my relationship with my family.,anxious,relationships,family,Try to identify the sources of your anxiety and address them one by one.
I've been feeling very anxious about my child's health.,anxious,health,health,Discuss your concerns with a healthcare professional.
I feel very guilty about not being able to help my friends.,guilty,relationships,friends,Acknowledge your feelings and try to forgive yourself.
I've been feeling very nervous about my upcoming test.,anxious,education,general,Try to identify the sources of your anxiety and address them one by one.
I'm feeling very anxious about my partner's future.,anxious,relationships,partner,Practice mindfulness or deep breathing exercises to calm your mind.
I've been feeling very stressed about my child's education.,anxious,health,stress,Stay informed but avoid overloading yourself with information.
I feel like I'm stuck in a rut and can't get out.,neutral,other,general,Consider seeking professional advice.
I've been feeling a lot of pressure from my parents.,overwhelmed,relationships,general,Prioritize your tasks and focus on one thing at a time.
I'm worried about the state of the world and the future.,anxious,other,general,Practice mindfulness or deep breathing exercises to calm your mind.
I feel very disconnected from my coworkers.,neutral,work,work,Consider seeking professional advice.
